variable,value
1,0
2,1
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,1
19,1
20,1
21,0
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,0
33,0
34,0
35,1
36,0
37,0
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,1
49,1
50,1
51,0
52,0
53,1
54,0
55,0
56,1
57,1
58,1
59,0
60,0
61,0
62,0
63,0
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,1
76,1
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,0
89,1
90,1
91,0
92,1
93,1
94,0
95,1
96,1
97,0
98,0
99,1
100,1
101,0
102,0
103,1
104,1
105,1
106,0
107,0
108,0
109,0
110,1
111,1
112,0
113,0
114,1
115,1
116,1
117,1
118,0
119,0
120,1
121,1
122,0
123,0
124,0
125,1
126,0
127,1
128,0
129,0
130,1
131,0
132,0
133,1
134,0
135,1
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,1
144,0
145,0
146,1
147,1
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,1
158,1
159,1
160,0
161,1
162,1
163,0
164,0
165,0
166,1
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,0
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,0
185,1
186,1
187,0
188,1
189,1
190,0
191,0
192,0
193,1
194,0
195,0
196,1
197,1
198,0
199,0
200,1
201,0
202,0
203,0
204,1
205,1
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,1
214,1
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,1
225,0
226,0
227,0
228,1
229,0
230,0
231,0
232,1
233,1
234,0
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,1
243,1
244,0
245,0
246,1
247,0
248,1
249,1
250,0
251,0
252,1
253,1
254,0
255,0
256,1
257,1
258,0
259,1
260,0
261,0
262,0
263,1
264,1
265,1
266,1
267,1
268,0
269,1
270,0
271,1
272,1
273,0
274,0
275,0
276,1
277,1
278,1
279,0
280,1
281,0
282,0
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,0
300,0
301,1
302,1
303,1
304,0
305,1
306,1
307,0
308,1
309,0
310,1
311,1
312,0
313,1
314,0
315,0
316,1
317,1
318,0
319,0
320,0
321,0
322,1
323,1
324,1
325,0
326,0
327,1
328,1
329,1
330,0
331,0
332,1
333,1
334,1
335,0
336,1
337,1
338,0
339,1
340,0
341,0
342,0
343,1
344,0
345,1
346,1
347,0
348,0
349,0
350,1
351,1
352,1
353,1
354,0
355,1
356,0
357,0
358,1
359,0
360,1
361,1
362,0
363,0
364,1
365,0
366,0
367,1
368,1
369,0
370,1
371,0
372,1
373,0
374,1
375,0
376,0
377,0
378,1
379,0
380,0
381,1
382,1
383,1
384,0
385,1
386,0
387,1
388,0
389,0
390,1
391,0
392,1
393,0
394,0
395,1
396,0
397,0
398,1
399,1
400,0
401,1
402,1
403,1
404,1
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,1
413,1
414,1
415,0
416,1
417,1
418,1
419,0
