variable,value
1,1
2,1
3,0
4,1
5,0
6,1
7,1
8,0
9,0
10,0
11,0
12,0
13,1
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,1
30,0
31,1
32,0
33,0
34,1
35,1
36,1
37,0
38,0
39,1
40,1
41,1
42,0
43,1
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,0
58,1
59,0
60,1
61,1
62,1
63,1
64,0
65,1
66,1
67,0
68,0
69,0
70,1
71,1
72,0
73,1
74,0
75,1
76,1
77,0
78,0
79,1
80,0
81,0
82,1
83,0
84,1
85,1
86,0
87,0
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,1
100,0
101,0
102,1
103,1
104,0
105,0
106,1
107,0
108,1
109,1
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,1
120,0
121,1
122,1
123,0
124,1
125,1
126,0
127,0
128,0
129,1
130,1
131,0
132,1
133,1
134,1
135,0
136,0
137,0
138,1
139,1
140,0
141,1
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,1
150,0
151,1
152,1
153,1
154,1
155,1
156,0
157,0
158,1
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,1
168,0
169,0
170,1
171,0
172,1
173,1
174,0
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,0
184,1
185,1
186,0
187,1
188,1
189,1
190,0
191,0
192,1
193,1
194,0
195,0
196,0
197,1
198,0
199,1
200,1
201,1
202,1
203,1
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,1
220,0
221,1
222,1
223,0
224,1
225,0
226,0
227,1
228,1
229,1
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,1
238,1
239,1
240,1
241,1
242,0
243,1
244,0
245,1
246,1
247,1
248,1
249,1
250,1
251,0
252,1
253,1
254,0
255,1
256,1
257,0
258,1
259,1
260,0
261,0
262,1
263,1
264,1
265,1
266,0
267,1
268,0
269,0
270,0
271,1
272,1
273,1
274,1
275,1
276,0
277,0
278,1
279,0
280,1
281,0
282,1
283,1
284,0
285,1
286,1
287,0
288,0
289,1
290,1
291,0
292,0
293,1
294,0
295,0
296,0
297,1
298,0
299,1
300,1
301,0
302,0
303,0
304,0
305,1
306,0
307,0
308,0
309,0
310,1
311,0
312,1
313,0
314,0
315,1
316,1
317,0
318,0
319,1
320,0
321,1
322,0
323,0
324,0
325,1
326,1
327,0
328,0
329,0
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,1
338,0
339,0
340,0
341,1
342,0
343,1
344,0
345,1
346,1
347,0
348,1
349,0
350,1
351,1
352,0
353,0
354,1
355,0
356,1
357,1
358,0
359,0
360,1
361,0
362,1
363,0
364,0
365,1
366,1
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,1
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,1
384,1
385,0
386,1
387,0
388,1
389,1
390,1
391,1
392,0
393,0
394,0
395,1
396,0
397,1
398,1
399,1
400,0
401,1
402,0
403,0
404,1
405,0
406,0
407,0
408,0
409,0
410,0
411,1
412,0
413,0
414,0
415,1
416,1
417,1
418,0
419,1
420,1
421,1
422,0
423,0
424,0
425,0
426,0
427,0
428,1
429,1
430,1
431,0
432,1
433,1
434,1
435,0
436,0
437,0
438,0
439,0
440,1
441,1
442,0
443,0
444,0
445,0
446,1
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,1
456,1
457,0
458,1
459,1
460,0
461,0
462,0
463,1
464,1
465,1
466,1
467,0
468,0
469,0
470,0
471,1
472,1
473,0
474,0
475,0
476,1
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,1
485,1
486,1
487,0
488,1
489,1
490,1
491,1
492,0
493,0
494,1
495,0
496,1
497,0
498,1
499,1
500,0
501,1
502,1
503,0
504,0
505,1
506,0
507,0
508,1
509,1
510,1
511,1
512,0
513,0
514,1
515,0
516,1
517,1
518,1
519,0
520,0
521,0
522,1
523,1
524,0
525,0
526,1
527,1
528,1
529,0
530,1
531,0
532,1
533,1
534,1
535,1
536,1
537,1
538,0
539,0
540,1
541,0
542,1
543,0
544,0
545,0
546,1
547,1
548,1
549,1
550,0
551,1
552,0
553,1
554,0
555,0
556,1
557,0
558,0
559,0
560,0
561,1
562,1
563,1
564,1
565,1
566,1
567,0
568,0
569,0
570,0
571,1
572,1
573,1
574,1
575,1
576,0
577,1
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,1
586,1
587,0
588,1
589,0
590,1
591,0
592,0
593,1
594,1
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,1
