variable,value
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,0
24,0
25,0
26,1
27,1
28,0
29,0
30,1
31,0
32,0
33,0
34,1
35,1
36,1
37,0
38,1
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,0
55,1
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,0
66,0
67,0
68,1
69,0
70,1
71,0
72,1
73,1
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,1
82,0
83,0
84,0
85,0
86,0
87,0
88,1
89,0
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,1
105,0
106,0
107,1
108,0
109,1
110,1
111,0
112,1
113,0
114,0
115,1
116,0
117,0
118,1
119,0
120,1
121,1
122,1
123,1
124,0
125,1
126,1
127,0
128,0
129,1
130,1
131,1
132,1
133,1
134,0
135,1
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,0
147,1
148,0
149,1
150,1
151,1
152,0
153,1
154,0
155,1
156,0
157,1
158,0
159,0
160,1
161,0
162,0
163,0
164,1
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,1
178,0
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,0
191,1
192,1
193,0
194,1
195,1
196,1
197,1
198,1
199,0
200,0
201,1
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,1
210,0
211,0
212,1
213,0
214,1
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,1
231,1
232,0
233,0
234,1
235,1
236,0
237,0
238,0
239,1
240,0
241,0
242,1
243,0
244,0
245,0
246,1
247,1
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,1
257,0
258,1
259,1
260,0
261,0
262,1
263,1
264,0
265,0
266,1
267,1
268,1
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,0
277,0
278,1
279,0
280,0
