variable,value
1,0
2,0
3,1
4,1
5,0
6,1
7,1
8,0
9,0
10,1
11,0
12,1
13,1
14,1
15,0
16,0
17,1
18,0
19,1
20,1
21,1
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,1
31,1
32,0
33,1
34,1
35,0
36,1
37,1
38,1
39,1
40,1
41,1
42,0
43,1
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,1
61,1
62,0
63,1
64,1
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,1
76,1
77,1
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,1
86,1
87,0
88,1
89,0
90,0
91,1
92,0
93,1
94,1
95,0
96,1
97,0
98,1
99,0
100,0
101,0
102,1
103,1
104,0
105,0
106,1
107,0
108,1
109,1
110,0
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,1
119,0
120,0
121,1
122,1
123,1
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,1
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,1
145,0
146,0
147,1
148,0
149,1
150,1
151,1
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,1
160,0
161,0
162,1
163,0
164,1
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,1
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,1
195,0
196,0
197,0
198,1
199,0
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,0
208,1
209,0
210,0
211,0
212,0
213,1
214,1
215,0
216,1
217,0
218,0
219,0
220,1
221,1
222,0
223,1
224,1
225,1
226,0
227,0
228,0
229,1
230,0
231,1
232,0
233,1
234,0
235,1
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,1
245,0
246,1
247,1
248,1
249,0
250,0
251,0
252,0
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,0
263,1
264,1
265,0
266,1
267,1
268,0
269,0
270,0
271,0
272,1
273,1
274,0
275,0
276,1
277,0
278,0
279,0
280,0
