variable,value
1,1
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,0
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,0
29,1
30,1
31,1
32,1
33,0
34,0
35,0
36,1
37,1
38,0
39,1
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,0
63,1
64,0
65,1
66,0
67,0
68,1
69,1
70,0
71,1
72,1
73,1
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,1
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,0
102,1
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,1
111,0
112,1
113,1
114,0
115,1
116,0
117,1
118,1
119,0
120,0
121,1
122,0
123,0
124,1
125,1
126,1
127,1
128,1
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,0
144,1
145,0
146,0
147,0
148,1
149,0
150,1
151,0
152,1
153,0
154,1
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,0
178,1
179,0
180,1
181,0
182,0
183,1
184,1
185,0
186,0
187,0
188,1
189,1
190,0
191,0
192,1
193,1
194,0
195,0
196,1
197,0
198,0
199,0
200,0
201,1
202,1
203,0
204,0
205,1
206,1
207,1
208,1
209,1
210,0
211,0
212,1
213,0
214,0
215,1
216,1
217,0
218,1
219,1
220,0
221,1
222,1
223,1
224,1
225,1
226,1
227,0
228,0
229,0
230,0
231,1
232,0
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,0
247,1
248,0
249,0
250,1
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,0
262,1
263,0
264,1
265,0
266,1
267,1
268,1
269,0
270,0
271,1
272,1
273,0
274,0
275,0
276,0
277,1
278,0
279,1
280,1
281,0
282,1
283,0
284,1
285,1
286,1
287,0
288,0
289,0
290,1
291,0
292,0
293,1
294,1
295,0
296,0
297,1
298,0
299,0
300,0
301,1
302,0
303,1
304,0
305,1
306,1
307,1
308,0
309,1
310,1
311,1
312,1
313,0
314,0
315,1
316,0
317,1
318,0
319,0
320,0
321,1
322,1
323,1
324,0
325,0
326,0
327,1
328,1
329,1
330,0
331,1
332,0
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,0
342,1
343,1
344,1
345,0
346,1
347,0
348,1
349,0
350,0
351,1
352,0
353,0
354,0
355,1
356,0
357,1
358,0
359,1
360,1
361,0
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,0
373,0
374,1
375,0
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,0
384,0
385,0
386,1
387,1
388,1
389,0
390,0
391,1
392,1
393,1
394,1
395,0
396,1
397,1
398,0
399,0
400,1
401,0
402,1
403,0
404,1
405,0
406,0
407,1
408,1
409,0
410,0
411,0
412,1
413,0
414,0
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,0
423,1
424,0
425,1
426,0
427,1
428,1
429,0
430,1
431,1
432,0
433,1
434,1
435,1
436,0
437,1
438,1
439,1
440,0
441,0
442,1
443,0
444,0
445,1
446,1
447,1
448,0
449,0
450,1
451,1
452,0
453,1
454,0
455,0
456,0
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,0
465,1
466,0
467,1
468,0
469,0
470,1
471,1
472,1
473,0
474,1
475,0
476,0
477,0
478,1
479,0
480,0
481,1
482,0
483,1
484,1
485,0
486,1
487,0
488,0
489,0
490,0
491,1
492,1
493,0
494,1
495,0
496,1
497,0
498,0
499,1
500,0
501,0
502,1
503,1
504,0
505,0
506,0
507,1
508,0
509,0
510,1
511,0
512,0
513,1
514,0
515,1
516,0
517,1
518,1
519,0
520,0
521,0
522,0
523,1
524,0
525,1
526,0
527,1
528,1
529,0
530,1
531,1
532,1
533,1
534,0
535,0
536,1
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,1
546,1
547,1
548,1
549,1
550,0
551,1
552,1
553,0
554,0
555,1
556,1
557,1
558,0
559,0
560,1
561,1
562,1
563,1
564,1
565,0
566,1
567,0
568,1
569,1
570,0
571,1
572,1
573,1
574,0
575,1
576,0
577,0
578,0
579,0
580,1
581,0
582,1
583,0
584,0
585,1
586,0
587,1
588,0
589,0
590,1
591,1
592,0
593,0
594,1
595,0
596,0
597,0
598,1
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,1
610,0
611,1
612,0
613,0
614,1
615,1
616,1
617,0
618,0
619,1
620,0
621,0
622,1
623,1
624,0
625,1
626,1
627,0
628,0
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,0
638,0
639,1
640,1
641,0
642,1
643,0
644,1
645,0
646,1
647,1
648,0
649,1
650,0
651,0
652,1
653,0
654,1
655,0
656,0
657,1
658,0
659,1
660,0
661,1
662,0
663,1
664,1
665,1
666,1
667,0
668,0
669,1
670,1
671,0
672,0
673,1
674,0
675,0
676,1
677,0
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,0
688,1
689,0
690,1
691,0
692,0
693,0
694,1
695,0
696,1
697,1
698,0
699,1
700,0
701,0
702,1
703,0
704,1
705,0
706,1
707,1
708,1
709,0
710,0
711,1
712,0
713,1
714,0
715,1
716,1
717,0
718,1
719,1
720,0
721,0
722,1
723,1
724,0
725,1
726,0
727,0
728,1
729,0
730,1
731,1
732,1
733,0
734,0
735,1
736,0
737,1
738,1
739,0
740,0
741,0
742,1
743,0
744,0
745,0
746,0
747,1
748,1
749,1
750,1
751,1
752,0
753,0
754,1
755,1
756,1
757,0
758,1
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,0
772,0
773,1
774,0
775,1
776,1
777,0
778,0
779,0
780,1
781,1
782,1
783,0
784,1
785,0
786,0
787,0
788,0
789,1
790,0
791,0
792,0
793,1
794,0
795,1
796,1
797,0
798,0
799,0
800,0
801,0
802,1
803,0
804,1
805,0
806,0
807,0
808,1
809,0
810,1
811,0
812,0
813,1
814,0
815,1
816,1
817,0
818,0
819,1
820,1
821,1
822,0
823,0
824,1
825,1
826,0
827,1
828,0
829,0
830,1
831,1
832,0
833,0
834,0
835,1
836,1
837,0
838,0
839,1
840,1
841,0
842,0
843,0
844,0
