variable,value
1,0
2,1
3,0
4,1
5,1
6,0
7,1
8,0
9,0
10,1
11,1
12,0
13,1
14,1
15,0
16,1
17,1
18,0
19,0
20,1
21,1
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,1
33,0
34,1
35,1
36,0
37,0
38,1
39,0
40,1
41,1
42,0
43,1
44,1
45,1
46,0
47,1
48,1
49,0
50,0
51,1
52,1
53,0
54,0
55,0
56,0
57,1
58,1
59,0
60,0
61,0
62,0
63,1
64,1
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,1
76,1
77,0
78,0
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,0
87,0
88,0
89,0
90,1
91,0
92,1
93,0
94,1
95,1
96,1
97,1
98,0
99,0
100,0
101,1
102,1
103,0
104,0
105,0
106,1
107,1
108,1
109,0
110,1
111,0
112,1
113,0
114,1
115,0
116,0
117,0
118,1
119,0
120,1
121,1
122,1
123,0
124,0
125,1
126,1
127,1
128,1
129,0
130,1
131,1
132,0
133,0
134,0
135,0
136,0
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,0
146,1
147,1
148,0
149,0
150,0
151,1
152,0
153,1
154,0
155,0
156,1
157,1
158,1
159,0
160,0
161,0
162,1
163,0
164,1
165,1
166,1
167,1
168,0
169,1
170,0
171,0
172,1
173,0
174,1
175,1
176,0
177,1
178,0
179,1
180,0
181,1
182,1
183,1
184,1
185,0
186,0
187,1
188,1
189,1
190,1
191,0
192,1
193,1
194,0
195,0
196,1
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,1
205,0
206,0
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,0
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,0
227,1
228,1
229,1
230,0
231,1
232,0
233,1
234,0
235,0
236,1
237,1
238,1
239,0
240,0
241,1
242,1
243,0
244,0
245,1
246,0
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,1
255,0
256,1
257,1
258,1
259,0
260,0
261,1
262,1
263,1
264,1
265,0
266,0
267,1
268,1
269,1
270,0
271,0
272,1
273,1
274,1
275,0
276,0
277,0
278,0
279,0
280,1
281,0
282,1
283,1
284,1
285,0
286,0
287,0
288,0
289,0
290,1
291,0
292,1
293,1
294,0
295,0
296,0
297,1
298,0
299,0
300,1
301,1
302,1
303,1
304,1
305,1
306,0
307,0
308,1
309,1
310,0
311,0
312,1
313,0
314,1
315,1
316,1
317,0
318,0
319,1
320,1
321,0
322,0
323,1
324,0
325,1
326,1
327,1
328,1
329,1
330,0
331,0
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,0
340,0
341,0
342,1
343,1
344,0
345,1
346,0
347,1
348,1
349,0
350,1
351,0
352,1
353,0
354,0
355,0
356,1
357,0
358,1
359,0
360,0
361,0
362,1
363,0
364,0
365,0
366,1
367,1
368,0
369,0
370,1
371,0
372,1
373,1
374,0
375,0
376,1
377,1
378,0
379,1
380,0
381,0
382,0
383,1
384,1
385,1
386,1
387,1
388,1
389,0
390,1
391,0
392,0
393,0
394,1
395,0
396,0
397,1
398,0
399,0
400,0
401,0
402,1
403,1
404,0
405,0
406,0
407,0
408,0
409,1
410,1
411,0
412,1
413,1
414,0
415,0
416,1
417,0
418,0
419,0
