variable,value
1,1
2,0
3,1
4,1
5,0
6,0
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,1
16,1
17,0
18,0
19,0
20,0
21,1
22,1
23,1
24,0
25,1
26,1
27,0
28,0
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,1
38,1
39,0
40,0
41,0
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,0
51,1
52,1
53,1
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,1
76,0
77,0
78,0
79,0
80,1
81,1
82,0
83,1
84,1
85,0
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,1
97,0
98,1
99,1
100,0
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,0
114,1
115,0
116,1
117,0
118,1
119,1
120,1
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,1
129,1
130,0
131,1
132,0
133,1
134,1
135,1
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,0
144,1
145,0
146,1
147,1
148,1
149,1
150,1
151,0
152,0
153,0
154,1
155,1
156,0
157,0
158,1
159,1
160,0
161,1
162,1
163,0
164,1
165,0
166,0
167,0
168,1
169,1
170,1
171,1
172,0
173,0
174,0
175,0
176,1
177,1
178,0
179,0
180,0
181,1
182,1
183,0
184,1
185,0
186,1
187,0
188,1
189,0
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,0
200,1
201,1
202,1
203,1
204,0
205,0
206,1
207,1
208,0
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,1
238,1
239,0
240,0
241,1
242,1
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,1
255,1
256,0
257,1
258,1
259,0
260,1
261,0
262,0
263,0
264,1
265,1
266,0
267,1
268,1
269,0
270,0
271,1
272,0
273,0
274,1
275,0
276,1
277,1
278,0
279,0
280,0
281,1
282,0
283,0
284,1
285,1
286,0
287,1
288,1
289,0
290,0
291,0
292,1
293,1
294,1
295,0
296,1
297,0
298,0
299,1
300,0
301,1
302,1
303,0
304,1
305,0
306,1
307,1
308,1
309,1
310,0
311,1
312,1
313,0
314,0
315,1
316,0
317,0
318,1
319,1
320,0
321,0
322,1
323,0
324,0
325,1
326,0
327,1
328,1
329,0
330,1
331,1
332,0
333,0
334,1
335,1
336,0
337,0
338,0
339,1
340,0
341,0
342,0
343,1
344,0
345,1
346,1
347,1
348,0
349,0
350,0
351,0
352,0
353,1
354,1
355,1
356,0
357,1
358,1
359,0
360,0
361,1
362,1
363,0
364,0
365,1
366,1
367,1
368,0
369,1
370,1
371,1
372,0
373,1
374,0
375,1
376,1
377,1
378,0
379,1
380,0
381,0
382,1
383,0
384,1
385,1
386,0
387,0
388,1
389,1
390,1
391,0
392,1
393,1
394,0
395,1
396,1
397,0
398,1
399,1
400,1
401,0
402,0
403,1
404,0
405,1
406,1
407,0
408,0
409,0
410,0
411,0
412,1
413,0
414,1
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,1
424,1
425,0
426,0
427,0
428,1
429,0
430,1
431,1
432,0
433,1
434,1
435,0
436,0
437,1
438,1
439,1
440,1
441,1
442,0
443,0
444,1
445,0
446,0
447,1
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,1
459,0
460,1
461,0
462,1
463,1
464,0
465,0
466,1
467,0
468,0
469,1
470,1
471,1
472,0
473,0
474,0
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,0
483,0
484,0
485,0
486,0
487,1
488,1
489,0
490,0
491,0
492,1
493,1
494,1
495,1
496,1
497,0
498,1
499,0
500,1
501,1
502,0
503,0
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,0
512,0
513,1
514,0
515,1
516,1
517,0
518,0
519,1
520,0
521,1
522,0
523,0
524,0
525,0
526,1
527,1
528,1
529,1
530,1
531,1
532,0
533,1
534,1
535,0
536,1
537,1
538,0
539,1
540,0
541,1
542,0
543,1
544,0
545,0
546,0
547,1
548,1
549,0
550,0
551,1
552,1
553,0
554,0
555,0
556,0
557,1
558,1
559,0
560,0
561,1
562,0
563,1
564,1
565,1
566,0
567,1
568,1
569,0
570,1
571,0
572,1
573,0
574,0
575,0
576,1
577,1
578,1
579,0
580,1
581,0
582,0
583,0
584,0
585,1
586,1
587,1
588,1
589,0
590,0
591,1
592,0
593,1
594,1
595,0
596,0
597,1
598,1
599,1
600,0
601,1
602,0
603,0
604,1
605,1
606,0
607,0
608,0
609,1
610,1
611,1
612,1
613,1
614,0
615,0
616,0
617,1
618,0
619,0
620,1
621,0
622,1
623,1
624,0
625,1
626,0
627,0
628,1
629,0
630,0
631,1
632,0
633,1
634,0
635,1
636,1
637,0
638,0
639,0
640,1
641,1
642,0
643,0
644,0
645,0
646,0
647,0
648,1
649,1
650,1
651,0
652,0
653,1
654,0
655,0
656,0
657,0
658,0
659,0
660,1
661,0
662,0
663,1
664,1
665,0
666,0
667,0
668,1
669,1
670,0
671,1
672,0
673,0
674,0
675,0
676,0
677,1
678,0
679,0
680,0
681,1
682,1
683,1
684,0
685,0
686,1
687,1
688,1
689,0
690,1
691,1
692,1
693,1
694,0
695,0
696,0
697,1
698,1
699,1
700,1
701,1
702,0
703,0
704,0
705,0
706,1
707,0
708,0
709,0
710,0
711,0
712,1
713,1
714,1
715,0
716,1
717,1
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,1
726,0
727,0
728,0
729,1
730,1
731,0
732,0
733,1
734,0
735,0
736,0
737,1
738,0
739,1
740,1
741,0
742,1
743,0
744,0
745,0
746,1
747,0
748,0
749,1
750,0
751,0
752,1
753,1
754,1
755,0
756,1
757,0
758,0
759,1
760,0
761,1
762,0
763,0
764,1
765,0
766,0
767,1
768,1
769,0
770,1
771,1
772,0
773,0
774,1
775,1
776,0
777,0
778,0
779,0
780,1
781,1
782,0
783,0
784,1
785,0
786,0
787,1
788,0
789,1
790,1
791,1
792,1
793,1
794,1
795,0
796,0
797,0
798,0
799,0
800,0
801,1
802,1
803,0
804,1
805,1
806,1
807,1
808,1
809,1
810,0
811,0
812,0
813,1
814,0
815,1
816,0
817,0
818,0
819,1
820,0
821,1
822,0
823,0
824,1
825,0
826,0
827,0
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,0
837,0
838,0
839,0
840,1
841,1
842,0
843,0
844,1
